weight,diameter,color,fruit
97.8,3.8,Yellow,Banana
119.8,3.8,Yellow,Banana
205.5,8.6,Orange,Orange
224.8,9.1,Orange,Orange
142.6,3.6,Yellow,Banana
113.9,3.6,Yellow,Banana
144.6,7,Red,Apple
98.5,7.3,Red,Apple
200.8,8.4,Orange,Orange
176.8,7.8,Orange,Orange
118.3,3.6,Yellow,Banana
173.3,7.1,Orange,Orange
222.9,8.6,Orange,Orange
191.9,8.2,Orange,Orange
121.6,3.7,Yellow,Banana
154.3,7.7,Green,Apple
187.6,8.2,Green,Apple
122.8,3.5,Yellow,Banana
181.2,8.2,Orange,Orange
185.8,9.1,Orange,Orange
276.2,8.8,Orange,Orange
177.9,7.2,Green,Apple
167,6.3,Red,Apple
161.3,7.7,Orange,Orange
204.8,9,Orange,Orange
103.1,3.5,Yellow,Banana
96.1,7.5,Green,Apple
171.6,6.6,Green,Apple
191.9,7.8,Orange,Orange
120,3.5,Yellow,Banana
132.6,6.7,Red,Apple
111.5,3.8,Yellow,Banana
277.1,7.8,Orange,Orange
231.2,7.9,Orange,Orange
120.5,9.2,Orange,Orange
247.8,8.5,Orange,Orange
138.6,7.4,Red,Apple
225,7.7,Orange,Orange
168.7,8.1,Red,Apple
135.9,7.1,Red,Apple
112.1,3.6,Yellow,Banana
184.3,7.7,Red,Apple
237.5,8.8,Orange,Orange
144.5,7,Red,Apple
209.8,7.7,Orange,Orange
162.8,8,Orange,Orange
190.1,8.4,Orange,Orange
173.7,7.2,Red,Apple
189,8.8,Orange,Orange
183.7,8.7,Orange,Orange
208.5,8.5,Orange,Orange
115,3.9,Yellow,Banana
145.5,3.5,Yellow,Banana
159.6,8.9,Orange,Orange
170,9.6,Orange,Orange
161.3,8.6,Orange,Orange
134.3,3.7,Yellow,Banana
149.8,8.2,Green,Apple
148.6,6.2,Green,Apple
106.5,3.2,Yellow,Banana
144.3,4,Yellow,Banana
205.2,7.4,Red,Apple
242.1,8.2,Orange,Orange
189.6,8.6,Orange,Orange
110.8,3.1,Yellow,Banana
140.1,3.2,Yellow,Banana
128.1,3.5,Yellow,Banana
127.4,3.6,Yellow,Banana
114.9,7.4,Red,Apple
111.4,3.5,Yellow,Banana
185.6,9.9,Orange,Orange
153.6,7.3,Red,Apple
137.5,8.4,Red,Apple
127.5,3.7,Yellow,Banana
129.3,3,Yellow,Banana
134.8,3.3,Yellow,Banana
123.6,7.4,Green,Apple
132.3,3.7,Yellow,Banana
132.6,3.9,Yellow,Banana
155.3,7.9,Red,Apple
204.3,8.3,Orange,Orange
162.5,10.1,Orange,Orange
126.7,3.4,Yellow,Banana
240.7,8.3,Orange,Orange
120.4,3.5,Yellow,Banana
265.7,8.7,Orange,Orange
157.8,8.8,Orange,Orange
154.4,7.3,Green,Apple
192.2,8.6,Orange,Orange
122.6,3.9,Yellow,Banana
231,7.6,Orange,Orange
123,7.8,Red,Apple
121.2,3.8,Yellow,Banana
119.6,3.3,Yellow,Banana
107.9,3.4,Yellow,Banana
143.7,3.3,Yellow,Banana
199.7,8.4,Orange,Orange
213.6,8.9,Orange,Orange
149.3,7.6,Red,Apple
128.6,7.8,Green,Apple
169.7,7.4,Green,Apple
118.5,3.5,Yellow,Banana
173.3,8.3,Red,Apple
180.9,8.2,Orange,Orange
214.1,8.8,Orange,Orange
188.8,7.8,Orange,Orange
205.1,8.5,Orange,Orange
111.7,3.7,Yellow,Banana
197.1,8,Green,Apple
137.7,7.3,Red,Apple
128.2,3.8,Yellow,Banana
131.9,8,Green,Apple
120.7,3.3,Yellow,Banana
163.9,7,Red,Apple
149.7,8.1,Green,Apple
236.2,8.7,Orange,Orange
233.1,8.6,Orange,Orange
154.8,7.7,Green,Apple
144.7,7.4,Red,Apple
124.8,3.3,Yellow,Banana
135.6,3.5,Yellow,Banana
188.9,8,Orange,Orange
247,8.7,Orange,Orange
129.8,2.9,Yellow,Banana
116.7,3.6,Yellow,Banana
123.7,4,Yellow,Banana
236.3,7.6,Orange,Orange
223.1,8.9,Orange,Orange
222.6,9.1,Orange,Orange
235.9,7.6,Orange,Orange
111.2,4.1,Yellow,Banana
125.5,3.3,Yellow,Banana
137,3.4,Yellow,Banana
111.7,4.1,Yellow,Banana
220.3,8.5,Orange,Orange
101.6,3.4,Yellow,Banana
111.9,3.8,Yellow,Banana
178.3,8.9,Orange,Orange
116.7,3.2,Yellow,Banana
113.1,7.2,Green,Apple
178.7,8.1,Orange,Orange
125,8.2,Red,Apple
125.1,3.6,Yellow,Banana
144.4,2.8,Yellow,Banana
105.8,3.6,Yellow,Banana
146.8,6.8,Green,Apple
249.1,9.4,Orange,Orange
149.2,6.8,Red,Apple
152.3,8.8,Orange,Orange
149.4,3.4,Yellow,Banana
274.2,8.2,Orange,Orange
131.8,3.6,Yellow,Banana
207.7,8.8,Orange,Orange
116.1,3.4,Yellow,Banana
143.5,7.5,Green,Apple
181.7,7.8,Orange,Orange
206.3,7.3,Orange,Orange
140.6,8,Red,Apple
227.6,8.8,Orange,Orange
242,9.1,Orange,Orange
251.1,9.3,Orange,Orange
147.2,3.6,Yellow,Banana
238,8.8,Orange,Orange
121.7,3.8,Yellow,Banana
197,9.4,Orange,Orange
146,3.6,Yellow,Banana
129.8,4,Yellow,Banana
197.4,7.3,Red,Apple
145.1,3.4,Yellow,Banana
162.4,8.1,Red,Apple
215.2,7.3,Orange,Orange
103.1,3.7,Yellow,Banana
113.8,3.1,Yellow,Banana
116.1,3,Yellow,Banana
197.2,8.8,Orange,Orange
125.5,6.8,Green,Apple
206.7,9.1,Orange,Orange
196.8,9.6,Orange,Orange
239.5,8.8,Orange,Orange
129.8,3,Yellow,Banana
161.7,7.6,Orange,Orange
241.3,9,Orange,Orange
112.9,3.9,Yellow,Banana
183.5,8.1,Orange,Orange
121.7,8.7,Orange,Orange
150.5,8.5,Orange,Orange
165.4,6.1,Red,Apple
208,8.1,Orange,Orange
124.1,8.1,Green,Apple
134.7,7.1,Green,Apple
91.2,3.3,Yellow,Banana
169.9,7.3,Red,Apple
163,6.8,Red,Apple
143,7.3,Red,Apple
132.7,3.9,Yellow,Banana
164.1,8,Green,Apple
115.5,3.6,Yellow,Banana
143.6,7.3,Green,Apple
125.3,7.8,Red,Apple
184.3,7.9,Green,Apple
189.4,7.4,Green,Apple
153.7,8.8,Orange,Orange
151.3,3.5,Yellow,Banana
105.9,3.7,Yellow,Banana
114.1,3.4,Yellow,Banana
110.6,4.1,Yellow,Banana
147.9,7.5,Green,Apple
153.7,7.6,Red,Apple
123,3.6,Yellow,Banana
162.4,7.6,Green,Apple
166.8,8.4,Green,Apple
198.1,8.7,Orange,Orange
156.8,8.2,Red,Apple
116.3,3.8,Yellow,Banana
196.7,9,Orange,Orange
221.6,8.9,Orange,Orange
115.2,3.8,Yellow,Banana
194.8,8.5,Orange,Orange
140.1,4,Yellow,Banana
106.7,4,Yellow,Banana
171.3,8.6,Red,Apple
205.1,8.1,Orange,Orange
238.1,8.9,Orange,Orange
169.6,7.3,Green,Apple
186.4,8.5,Orange,Orange
151.1,8.6,Orange,Orange
135.3,2.8,Yellow,Banana
192.4,8.7,Orange,Orange
101.7,3.4,Yellow,Banana
134.9,7.4,Red,Apple
130.2,6.9,Red,Apple
107.6,3.5,Yellow,Banana
170.3,9.1,Orange,Orange
196,8.4,Orange,Orange
124.9,3.6,Yellow,Banana
111,3.6,Yellow,Banana
175.3,8.4,Orange,Orange
182.6,8.5,Orange,Orange
207.4,9.9,Orange,Orange
161.6,8.1,Green,Apple
222.2,8.3,Orange,Orange
164.9,7.1,Green,Apple
126.5,3.8,Yellow,Banana
154.8,7.1,Red,Apple
102.2,3.6,Yellow,Banana
118.8,3.8,Yellow,Banana
174.5,8.3,Green,Apple
111.6,3.1,Yellow,Banana
163.3,6.7,Green,Apple
92,2.9,Yellow,Banana
161.4,8.3,Red,Apple
128,7.1,Red,Apple
120.5,3.3,Yellow,Banana
184.4,8.6,Orange,Orange
162.6,6.7,Red,Apple
192.6,7.6,Orange,Orange
220.8,9.7,Orange,Orange
141.5,8.1,Orange,Orange
216.7,8.5,Orange,Orange
176.2,7.8,Red,Apple
196.7,8,Orange,Orange
103.3,7.3,Red,Apple
121.1,3.7,Yellow,Banana
137,7.6,Green,Apple
212.8,8.7,Orange,Orange
160.1,7.8,Green,Apple
134.3,6.8,Red,Apple
202.6,8.9,Orange,Orange
111.7,3.7,Yellow,Banana
211.7,10,Orange,Orange
125.5,3.9,Yellow,Banana
150.5,6.3,Red,Apple
265.8,8.9,Orange,Orange
217.1,8.9,Orange,Orange
194.8,8,Orange,Orange
187,8.2,Orange,Orange
201.5,8.6,Orange,Orange
135.6,8.8,Red,Apple
157,3.4,Yellow,Banana
184.5,9.1,Orange,Orange
